"Random Forest","Valor p","CAR Score","Correlação Marginal","Correlação Parcial","I Score"
"SNP7","SNP1","SNP1","SNP1","SNP100","SNP5"
"SNP1","SNP7","SNP7","SNP7","SNP28","SNP1"
"SNP4","SNP4","SNP4","SNP4","SNP3","SNP8"
"SNP8","SNP8","SNP8","SNP8","SNP1","SNP7"
"SNP5","SNP5","SNP5","SNP5","SNP6","SNP2"
"SNP2","SNP2","SNP2","SNP2","SNP74","SNP4"
"SNP36","SNP10","SNP10","SNP10","SNP18","SNP3"
"SNP71","SNP60","SNP60","SNP60","SNP88","SNP6"
"SNP20","SNP12","SNP12","SNP12","SNP83","SNP12"
"SNP83","SNP71","SNP71","SNP71","SNP13","SNP68"
"SNP94","SNP6","SNP88","SNP6","SNP20","SNP10"
"SNP48","SNP88","SNP6","SNP88","SNP8","SNP71"
"SNP11","SNP3","SNP3","SNP3","SNP72","SNP60"
"SNP51","SNP83","SNP83","SNP83","SNP7","SNP88"
"SNP38","SNP82","SNP82","SNP82","SNP38","SNP96"
"SNP63","SNP46","SNP51","SNP46","SNP14","SNP82"
"SNP3","SNP51","SNP46","SNP51","SNP79","SNP76"
"SNP14","SNP11","SNP11","SNP11","SNP62","SNP20"
"SNP27","SNP35","SNP35","SNP35","SNP52","SNP58"
"SNP69","SNP89","SNP89","SNP89","SNP75","SNP36"
